Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
6,38,17,34,63,17,0.7000000000000002,0.0925,0.0003375,0.2122200426691671
7,42,28,52,72,19,0.7000000000000002,0.0225,0.000675,0.5371736186961142
8,43,33,41,72,28,0.2,0.0225,0.0003375,0.7121724085229744
9,26,30,36,70,15,0.8,0.0125,0.00045,0.3644882299121655
10,42,17,49,73,27,0.2,0.0825,0.00045,0.5077574265973792
11,39,33,36,78,28,0.2,0.0525,0.0001125,0.69791455477472
12,28,11,25,51,17,0.4,0.0325,0.0003375,0.3775590224646999
13,53,27,30,60,17,0.8,0.0525,0.0005625,0.2674542746075967
14,35,35,51,61,26,0.3,0.0225,0.00045,0.5720899926557644
15,34,12,31,57,29,0.8,0.0925,0.000675,0.2526145922479823
16,52,12,36,59,17,0.4,0.0525,0.0003375,0.2989743932699666
17,28,20,43,79,28,0.4,0.0825,0.000675,0.414217312321922
18,35,28,38,53,26,0.6000000000000001,0.0425,0.0,0.4837795744680959
19,25,21,51,64,21,0.3,0.0825,0.0003375,0.5582290518735099
20,43,14,34,55,11,0.6000000000000001,0.0425,0.0005625,0.4056691963824748
21,46,20,36,50,25,0.2,0.0625,0.0005625,0.3028070435375249
22,51,26,31,77,12,0.8,0.0625,0.0005625,0.2210676842703139
23,32,24,36,62,28,0.5,0.0225,0.000225,0.5777732749704801
24,39,18,34,56,21,0.5,0.0125,0.000675,0.5174557724385401
25,33,12,44,51,25,0.5,0.0325,0.000675,0.3526510433188725
26,40,30,38,75,11,0.4,0.0725,0.000225,0.417313728382423
27,36,28,43,58,27,0.6000000000000001,0.0125,0.0009,0.4068598591247715
28,30,10,43,82,13,0.8,0.0625,0.0007875,0.2340969941022674
29,53,17,27,52,20,0.6000000000000001,0.0125,0.000225,0.3847734953305084
30,28,19,28,77,11,0.4,0.0925,0.000225,0.3391648064555715
31,47,34,53,53,17,0.3,0.0725,0.0001125,0.4187143756928485
32,39,30,51,70,13,0.7000000000000002,0.0125,0.0005625,0.4669205693281297
33,48,32,47,69,26,0.2,0.0225,0.0005625,0.6669459070353153
34,38,13,28,80,21,0.4,0.0125,0.0,0.6024892230406771
35,28,21,38,58,20,0.7000000000000002,0.0625,0.00045,0.4262439916261205
36,40,19,45,52,16,0.4,0.0625,0.000225,0.3982438590648684
37,52,12,41,54,23,0.8,0.0625,0.000675,0.2264876404377953
38,53,15,31,75,29,0.7000000000000002,0.0925,0.000675,0.3120635263909304
39,43,18,44,65,25,0.8,0.0125,0.0007875,0.3125986812792882
40,51,28,37,56,25,0.4,0.0925,0.0003375,0.3635225385559456
41,40,30,41,82,20,0.4,0.0225,0.0001125,0.7086219418839689
42,41,13,53,60,19,0.8,0.0525,0.0,0.2698423359922578
43,28,20,42,63,14,0.3,0.0525,0.0005625,0.5805288018089426
44,26,33,25,55,23,0.8,0.0725,0.000225,0.09952598123465191
45,32,14,28,74,10,0.5,0.0125,0.0,0.5870281364136875
46,47,17,36,72,28,0.2,0.0125,0.0001125,0.7320732574613628
47,44,24,35,58,23,0.3,0.0825,0.0005625,0.3825159396324114
48,33,16,36,77,29,0.2,0.0425,0.0007875,0.5900398247706345
49,45,17,43,81,14,0.8,0.0125,0.000225,0.3133915592842557
50,40,25,43,68,22,0.4,0.0325,0.0007875,0.5238026147897865
51,29,14,35,61,17,0.8,0.0825,0.000675,0.2616119595890574
52,52,11,36,68,10,0.8,0.0725,0.0003375,0.193486471034148
53,26,20,36,65,17,0.7000000000000002,0.0225,0.0003375,0.4673274661008125
54,48,14,34,72,27,0.7000000000000002,0.0925,0.0001125,0.2517323404775587
55,35,20,43,75,19,0.7000000000000002,0.0825,0.0001125,0.3469910527941067
56,48,33,53,74,29,0.7000000000000002,0.0725,0.0007875,0.3687192937772582
57,33,15,25,54,20,0.2,0.0925,0.0007875,0.3890203212373755
58,26,30,49,72,21,0.6000000000000001,0.0725,0.0005625,0.4972633244209688
59,33,21,30,75,10,0.3,0.0725,0.0001125,0.4661810367797811
60,37,34,27,65,12,0.7000000000000002,0.0125,0.0007875,0.2519781066830422
61,35,33,39,78,10,0.3,0.0825,0.0005625,0.4195168887313468
62,30,20,26,55,27,0.2,0.0825,0.0003375,0.4886716038894519
63,40,16,31,70,27,0.5,0.0725,0.0005625,0.3306123659819984
